Timestamp,"Do you want to be consider to win ₦2,000  airtime",Which of the following age groups do you fall into?,What is your marital status? ,What is your highest level of education?,Which one of the following best describes your current employment status?,Which of these range of monthly income do you belong?,Who in your household is responsible for the financial decisions?,"Do you have any dependents? By ‘dependent’, we mean ‘financially dependent’.","In terms of the property you live in, do you?",Where do you live?,What are your short-term financial goals (i.e. over the next two years)? Select all that apply,"Are you involved in informal money handling groups (e.g. informal savings groups, ajo, group lending)?",Have you ever taken out a loan?,Which of the following lending institutions are you aware of?,Which of the following have you taken a loan from?,What are the main reasons that would make you take out a loan?,What loan are you most likely to use for starting a new business?,Which of the following is the single biggest challenge when taking out a loan?,What data will you be willing to give out for credit scoring as part of your loan application process?,What are your biggest barriers to taking a loan?,What are the three most important qualities you look out for in a lender?,What is your preferred channel for taking out a loan?,"When thinking of lenders in Nigeria, which brand comes to mind first?",What are the main avenues you use to decide on which lender to go for?,What is your gender?,Identifier
44779.96219,Yes,25 - 34,Married,University education,Self-employed,"N0 - N50,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,South West,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To buy my first property, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,"Commercial Banks, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Commercial Banks, Digital Lenders","To pay for a medical need, To pay for school fees, To expand your current business, For cash flow","Formal loan from a commercial bank, Digital lenders","Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Fees and service charge, Brand of the lender, Convenience and customer service, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Loan app,"Word of mouth referrals, Advertising, Social media",Female,k413i5bof2
44779.73828,Yes,18 - 24,Single,College education,Self-employed,"N0 - N50,000",Myself only,Parents,Rent the property,South East,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To pay my fees, To invest more than I am already investing, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,Commercial Banks,Commercial Banks,To expand your current business,"Formal loan from a commercial bank, Micro financing","High interest rates, The risk of getting into debt, Getting approval for the loan",Bank statement,"Fear of debt, The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Agent-led onboarding, Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Longevity in the market, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Irorun,Advertising,Female,l8cd98q946
44782.72147,Yes,25 - 34,Single,University education,Full-time employed,"N0 - N50,000",My parents make the decision,Parents,Own the property,Lagos,"To have my own business, To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances",No,Yes,Digital Lenders,Digital Lenders,To expand your current business,Digital lenders,"Providing collateral, High interest rates, Getting approval for the loan","Home address, Work information, Salary details, Bank statement",Lack of the requirements to take out loan,"Speed, Interest rates, Convenience and customer service, Longevity in the market, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Mobile app,Advertising,Female,x68c5he
44780.65268,Yes,40 - 44,Married,Post-graduate education,Full-time employed,196000,My partner and I make joint decisions,Other dependents (other than those listed above),Rent the property,Lagos,To generate multiple sources of income,Yes,No,"Commercial Banks, Microfinance Banks, Digital Lenders",Commercial Banks,"To meet a cash gap before next pay day, To start a new business","Micro financing, Digital lenders, Family and friends","Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Guarantor details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender","Speed, Interest rates, Fees and service charge, Convenience and customer service, Financial stability",Branch,Carbon,Word of mouth referrals,Male,p9ukgrym5q
44780.75389,Yes,18 - 24,Single,Secondary education,Full-time employed,"N0 - N50,000",Myself only,None,Live rent-free,South South,To have my own business,No,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Family and friends,Getting approval for the loan,Salary details,I don’t have a barrier,"Security, trust, and discretion, Financial assistance and coaching",Mobile app,Irorun,Social media,Male,ltvrnm4
44779.76067,Yes,25 - 34,Married,College education,Self-employed,"N0 - N50,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Abuja,"To have my own business, To be able to invest, To generate multiple sources of income, To secure my finances, To leave Nigeria",No,Yes,"Microfinance Banks, Digital Lenders","Microfinance Banks, Digital Lenders",For cash flow,"Micro financing, Digital lenders","The risk of getting into debt, Getting approval for the loan","Home address, Guarantor details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Fees and service charge, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Irorun ,"Advertising, Social media, Face to face",Male,f25wk9o
44780.80534,Yes,25 - 34,Married,College education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,None,Own the property,North West,To grow my current business,No,No,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",For cash flow,Family and friends,Getting approval for the loan,"Home address, Guarantor details",I don’t have a barrier,Financial assistance and coaching,Mobile app,To enhance my business ,Social media,Female,8t7z3ga
44780.76297,Yes,25 - 34,Single,University education,Full-time employed,"N100,000 - N300,000",Myself only,None,Rent the property,Abuja,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To generate multiple sources of income",Yes,Yes,Commercial Banks,Commercial Banks,"To pay for a medical need, To expand your current business, Buying a car, Buying a home","Formal loan from a commercial bank, Micro financing","Providing collateral, High interest rates","Home address, Work information","The instability of the economy, Fear of being embarrassed by the lender","Speed, Interest rates, Fees and service charge",Website,Microfinance Bank ,Word of mouth referrals,Male,x7j7n4i
44780.38983,Yes,40 - 44,Married,Post-graduate education,Full-time employed,"Above N1,000,000",My partner plays a small role but it is mostly up to me,Other dependents (other than those listed above),Own the property,Abuja,"To grow my current business, To be able to invest, To generate multiple sources of income, To secure my finances",Yes,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Commercial Banks, Microfinance Banks, Digital Lenders, Informal Lenders (Ajo, Corporative)","To meet a cash gap before next pay day, To expand your current business, Buying a car, Buying a home, For cash flow","Micro financing, Digital lenders",High interest rates,Bank statement,Fear of being embarrassed by the lender,"Speed, Digital onboarding and experience, Interest rates",Mobile app,Carbon,Advertising,Female,e73km3l
44780.14712,Yes,40 - 44,Married,No formal education,Self-employed,"N100,000 - N300,000",My partner plays a small role but it is mostly up to me,Other dependents (other than those listed above),Rent the property,South South,To grow my current business,No,Yes,Microfinance Banks,Digital Lenders,For cash flow,Digital lenders,High interest rates,Home address,Fear of debt,"Speed, Digital onboarding and experience, Interest rates",Mobile app,Lcredit app,Direct marketing,Male,qnlosz1
44779.70822,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",Myself only,None,Rent the property,South West,To buy my first property,No,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Digital lenders,High interest rates,Home address,Fear of debt,"Speed, Digital onboarding and experience, Brand of the lender",Mobile app,Carbon,Word of mouth referrals,Male,36tcj5w819
44787.21493,Yes,25 - 34,Single,University education,Self-employed,"N100,000 - N300,000",Myself only,None,Rent the property,North Central,To secure my finances,No,Yes,"Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,To expand your current business,Micro financing,High interest rates,"Salary details, Bank statement",I don’t have a barrier,"Digital onboarding and experience, Interest rates, Convenience and customer service",Mobile app,Umba/fairmoney,Advertising,Male,8ocgfwjvoh
44779.68492,Yes,25 - 34,Married,University education,Full-time employed,"N0 - N50,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,South West,"To have my own business, To be able to invest, To buy my first property, To secure my finances",Yes,Yes,"Money Lenders, Digital Lenders","Money Lenders, Digital Lenders",To meet a cash gap before next pay day,"Digital lenders, Family and friends","Providing collateral, High interest rates, The risk of getting into debt","Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, Fear of being embarrassed by the lender","Speed, Interest rates, Security, trust, and discretion",Mobile app,Fairmoney,"Word of mouth referrals, Direct marketing",Female,fsdkf4bl3w
44780.2557,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,Other dependents (other than those listed above),Rent the property,South West,"To secure my finances, To leave Nigeria",No,No,Microfinance Banks,None,To expand your current business,"Micro financing, Digital lenders","Providing collateral, Getting approval for the loan",Home address,I don’t have a barrier,"Speed, Fees and service charge, Convenience and customer service",Mobile app,Irorun,"Word of mouth referrals, Advertising",Male,le0heww
